feature,pure_revenue_mean_abs_shap,hybrid_revenue_residual_mean_abs_shap,weighted_revenue_mean_abs_shap,pure_cogs_mean_abs_shap,hybrid_cogs_residual_mean_abs_shap,weighted_cogs_mean_abs_shap
month,0.0403659258635546,0.039981556187509065,0.04009686709032272,0.036272198169826436,0.03812645613569458,0.03757017874593413
day,0.17297726213617276,0.17042318935590786,0.17118941118998732,0.1778019564350339,0.17458347338696434,0.1755490183013852
dayofweek,0.03235680828437757,0.033807112720179285,0.03337202138943877,0.031865761619658386,0.03366014114622928,0.033121827288258014
is_weekend,0.0027974911583860964,0.0022795793339203114,0.002434952881260047,0.0027191366062818733,0.0023740408135180273,0.002477569551347181
quarter,0.006298815939093351,0.012430221166498771,0.010590799598277145,0.007795792439427658,0.011964662396016082,0.010714001409039553
month_mean_rev,0.20524037525293878,0.18755683782639523,0.1928618990543583,0.21003587658202114,0.19426165162422285,0.19899391911156233
dow_mean_rev,0.01999806381316909,0.019229821714299915,0.01946029434396067,0.02040671324777223,0.019432032618568695,0.019724436807329753
month_mean_cogs,0.07528648074393728,0.079239960945419,0.07805391688497448,0.08273586918590328,0.08421381131701212,0.08377042867767948
dow_mean_cogs,0.009426676617881135,0.009285391686429978,0.009327777165865324,0.009861818246344575,0.009232192623091575,0.009421080310067474
is_month_start,0.006940544283812579,0.0057120547229101894,0.006080601591180906,0.005818161768767045,0.005296798027609321,0.005453207149956638
is_month_end,0.01652805727102534,0.01802746200237979,0.017577640582973453,0.017047378001481723,0.018637166032804915,0.018160229623407957
is_double_day,0.0015665847490962084,0.001657850364554431,0.001630470679916964,0.0015702447976241665,0.001661414923449564,0.0016340638857019448
is_mid_month,0.0006653691923561218,0.0005366752002754813,0.0005752833978996735,0.0005576832712721474,0.0005357397232755042,0.0005423227876744972
days_to_tet,0.006676492986615169,0.004018455992769908,0.0048158670909234855,0.006402810991934022,0.004483710129132522,0.005059440387972972
days_after_tet,0.004034586387089049,0.0027074470568495576,0.003105588855921405,0.0039020970068497592,0.002885468496940748,0.0031904570499134513
is_tet_week,0.0010742796154330375,0.0006288656807633009,0.0007624898611642218,0.0016729560886273728,0.0009331288178405579,0.0011550769990766024
is_holiday,0.0009801578888627256,0.0014262461506112808,0.0012924196720867141,0.0010889213038667407,0.0012475849126417284,0.0011999858300092321
